,UT,TEST,AA,AI Military Expenditure ,Total Military Expenditure ,MF,SC,LA,Job openings,Working population,JO,RS,PISA (country reating) - math,PISA max - math,Ed,AI Legislation,Total Legislation (technology),Reg,Domestic AI Patents,Total Domestic Patents,DP,TP,Threats to critical infrastructure,Cyber Threats / Cyber Attacks,Disinformation/ misinformation & Deepfakes,Violation of human rights,TT,Intelligence,State-owned data / Federal info,Personal data / Privacy,Self-driving cars,Autonomous weapons,Information sphere / infrastructure,Space (operations e.t.c),Digital infrastructure (cyber operations e.t.c),DA,AI in Security,AI department,AI Strategy,AI in Digital Strategy,AI companies,PV,Military Sector,Environmental Sector,Economic Sector,Societal Sector,Political Sector,Max score TF,TF,AI capability,Threat Evaluation,Security Consistency
2004,0,0,0,,"28,929,381,239,925",0,0,,,66.67015759,0,0,544,600,0.9066666667,0,,0,0,199,0,0.9066666667,1,1,0,1,3,0,1,1,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
2006,0,0,0,,"312,851,747,444,563",0,0,,,66.60377062,0,1,548,600,0.9133333333,0,,0,0,256,0,0.9133333333,1,1,0,0,2,0,1,1,0,0,1,0,1,4,0,0,0,0,1,0.1,0,0,0,0,0,15,0,0,0,0
2009,0,0,0,,"394,058,483,535,792",0,0,,,66.52419893,0,1,541,600,0.9016666667,0,,0,1,254,0.003937007874,0.9056036745,1,1,1,0,3,0,1,1,0,0,1,0,1,4,0,0,0,0,1,0.1,0,0,2,0,2,15,0.2666666667,0,0.7323006892,-0.7323006892
2013,0,0,0,,"416,113,994,521,741",0,1,,,64.54761203,0,1,519,600,0.865,0,,0,0,163,0,0.865,1,1,1,0,3,1,1,1,0,0,1,0,1,5,0,0,0,0,1,0.1,0,0,3,2,2,15,0.4666666667,0,0.3865,-0.3865
2017,1,0,0,,"343,109,021,695,364",0,1,1,,62.47008231,0,1,511,600,0.8516666667,0,1,0,0,139,0,0.8516666667,1,1,1,0,3,1,1,1,1,0,1,0,1,6,1,1,1,1,1,1,3,3,3,3,3,15,1,1.05,1.925833334,-0.8758333335
2019,1,0,0,33300000,"362,964,621,585,311",0.00000009174447872,1,1,,61.84301383,0,1,507,600,0.845,0,,0,0,92,0,0.845,1,1,1,1,4,1,1,1,1,0,1,1,1,7,1,1,1,1,1,1,3,3,3,3,3,15,1,1.050000023,2.076428572,-1.026428549
