,UT,TEST,AA,AI Military Expenditure ,Total Military Expenditure ,MF,SC,LA,Job openings,Working population,JO,RS,PISA (country reating) - math,PISA max - math,Ed,AI Legislation,Total Legislation (technology),Reg,Domestic AI Patents,Total Domestic Patents,DP,TP,Threats to critical infrastructure,Cyber Threats / Cyber Attacks,Disinformation/ misinformation & Deepfakes,Violation of human rights,TT,Intelligence,State-owned data / Federal info,Personal data / Privacy,Self-driving cars,Autonomous weapons,Information sphere / infrastructure,Space (operations e.t.c),Digital infrastructure (cyber operations e.t.c),DA,AI in Security,AI department,AI Strategy,AI in Digital Strategy,AI companies,PV,Military Sector,Environmental Sector,Economic Sector,Societal Sector,Political Sector,Max score TF,TF,AI capability,Threat Evaluation,Security Consistency
2010,0,0,0,,5885.9,0,0,0,,,0,0,494,600,0.8233333333,0,971,0,7,271,0.0258302583,0.8491635916,,,,,0,,1,1,,,1,,,3,,,,,,0,0,0,0,0,0,15,0,0,0,0
2015,0,0,0,,5387.1,0,1,0,,,0,1,494,600,0.8233333333,0,1211,0,10,187,0.05347593583,0.8768092692,,,,,0,1,,,,1,1,,,3,,,,,1,0.1,,0,1,,1,15,0.1333333333,0.5,0.2192023174,0.2807976826
2017,1,0,0,,5526.6,0,1,0,,,0,1,494,600,0.8233333333,22,1483,0.01483479434,4,171,0.02339181287,0.8615599405,,1,1,,2,1,1,1,1,1,,,1,6,1,,,,1,0.4,3,0,2,,3,15,0.5333333333,0.75,0.3576949926,0.3923050074
2018,1,0,0,,5732.8,0,1,1,,,0,1,502,600,0.8366666667,59,1251,0.04716227018,3,140,0.02142857143,0.9052575083,,1,1,,2,1,1,1,1,,1,,1,6,1,,1,1,1,0.7,3,0,3,3,3,15,0.8,1.05,0.4236833866,0.6263166134
2019,1,0,0,17.39,5920.1,0.002937450381,1,1,,,0,1,502,600,0.8366666667,66,1336,0.0494011976,17,161,0.1055900621,0.9916579264,1,1,1,1,3,1,1,1,,1,1,1,1,7,1,1,1,1,1,1,3,0,3,3,3,15,0.8,1.050734363,0.7127960583,0.3379383043
